HHID,EAID,Region,riceSystem,SSR_Yha,BRR_Yha,ZCC_Yha,rateNPK,rateUrea,ureaBRR,NPKBRR,rateN,rateN_BRR,useN_effSSR,plot,useN
SGHHNG000502,SGEANG000108,Region3,irrigated,4.992763121,4.678590604,NA,252,200,87,267,127.28,77.4,-21.22029545,T1,39.22661158
SGHHNG000503,SGEANG000108,Region3,irrigated,5.067012278,4.683126187,NA,252,200,87,267,127.28,77.4,-20.69554182,T1,39.80996447
SGHHNG000504,SGEANG000108,Region3,irrigated,4.809254237,4.392997738,NA,252,200,87,267,127.28,77.4,-18.97223827,T1,37.78483845
SGHHNG000505,SGEANG000108,Region3,irrigated,3.796151899,3.43538375,2.415936705,252,200,87,267,127.28,77.4,-14.5595995,T1,29.82520348
SGHHNG000506,SGEANG000108,Region3,irrigated,3.570652174,3.309456522,NA,252,200,87,267,127.28,77.4,-14.70431503,T1,28.05352117
SGHHNG000507,SGEANG000108,Region3,irrigated,6.267740698,6.504313944,1.534813982,252,200,87,267,127.28,77.4,-34.79134374,T1,49.24372013
SGHHNG000513,SGEANG000107,Region3,irrigated,4.009587063,3.235397727,4.168804159,NA,175,87,267,NA,77.4,NA,T1,NA
SGHHNG000516,SGEANG000107,Region3,irrigated,3.142118863,2.926361279,2.650549451,73,217,87,267,110.04,77.4,-9.253951718,T1,28.55433354
SGHHNG000520,SGEANG000107,Region3,rainfedLowland,4.588911825,3.961583578,4.029484902,170,206,87,267,118.56,77.4,-12.47785372,T1,38.70539664
SGHHNG000521,SGEANG000107,Region3,irrigated,1.668777229,1.508676599,1.114336493,40,207,87,267,100.82,77.4,-2.939900211,T1,16.55204552
SGHHNG000525,SGEANG000107,Region3,irrigated,4.67175174,4.252798615,3.455957944,73,217,87,267,110.04,77.4,-12.49068637,T1,42.45503217
SGHHNG000526,SGEANG000107,Region3,irrigated,4.725854514,3.910851809,2.840830652,7,195,87,267,90.68,77.4,1.587930147,T1,52.11573129
SGHHNG000529,SGEANG000107,Region3,irrigated,3.543152302,3.299556082,2.518168213,370,180,87,267,134.6,77.4,-16.30635517,T1,26.32356837
SGHHNG000351,SGEANG000103,Region1,rainfedLowland,2.798355171,3.089615813,1.835451467,224,125,87,267,88.86,77.4,-8.425786472,T3,39.91751696
SGHHNG000352,SGEANG000103,Region1,rainfedLowland,2.269460185,2.582428941,1.94197319,224,125,87,267,88.86,77.4,-7.824987503,T3,33.36471499
SGHHNG000358,SGEANG000103,Region1,rainfedLowland,2.7,2.948440111,2.170050761,224,125,87,267,88.86,77.4,-7.708666407,T3,38.09354149
SGHHNG000359,SGEANG000103,Region1,rainfedLowland,2.46,2.830344828,2.468020244,224,125,87,267,88.86,77.4,-8.883765331,T3,36.56776263
SGHHNG000360,SGEANG000103,Region1,rainfedLowland,2.11945,1.88882054,1.794662937,224,125,87,267,88.86,77.4,-0.551801895,T3,24.40336615
SGHHNG000361,SGEANG000103,Region1,rainfedLowland,2.03268945,2.260712378,2.115254237,224,125,87,267,88.86,77.4,-6.332979501,T3,29.20817025
SGHHNG000365,SGEANG000103,Region1,rainfedLowland,2.640515708,2.944156306,2.148317952,224,125,87,267,88.86,77.4,-8.322735918,T3,38.03819516
SGHHNG000371,SGEANG000102,Region1,rainfedLowland,2.672168163,2.683522232,1.455749105,195,111,87,267,78.36,77.4,-0.569653717,T3,34.67082987
SGHHNG000372,SGEANG000102,Region1,rainfedLowland,3.056792929,2.652118597,1.74135402,195,111,87,267,78.36,77.4,4.744510441,T3,34.26509815
SGHHNG000373,SGEANG000102,Region1,rainfedLowland,2.706696731,2.732704082,1.578021733,195,111,87,267,78.36,77.4,-0.764437917,T3,35.30625428
SGHHNG000374,SGEANG000102,Region1,rainfedLowland,2.749656918,2.440106952,3.668412162,195,111,87,267,78.36,77.4,3.564128045,T3,31.52592961
SGHHNG000378,SGEANG000102,Region1,rainfedLowland,2.406417112,2.21809229,3.534188874,195,111,87,267,78.36,77.4,2.052240936,T3,28.65752313
SGHHNG000379,SGEANG000102,Region1,rainfedLowland,2.40588565,2.413675551,1.52775882,195,111,87,267,78.36,77.4,-0.481456887,T3,31.18443864
SGHHNG000383,SGEANG000102,Region1,rainfedLowland,2.471580699,2.509892116,1.691695775,195,111,87,267,78.36,77.4,-0.886190176,T3,32.42754672
SGHHNG000384,SGEANG000102,Region1,rainfedLowland,3.07439795,3.084401588,NA,195,111,87,267,78.36,77.4,-0.615872658,T3,39.85014972
SGHHNG000387,SGEANG000102,Region1,rainfedLowland,2.982486486,2.78726765,3.941493003,195,111,87,267,78.36,77.4,2.050128577,T3,36.01120994
SGHHNG000393,SGEANG000101,Region1,rainfedLowland,1.644870726,2.04508703,1.189565217,224,125,87,267,88.86,77.4,-7.911501369,T3,26.42231305
SGHHNG000395,SGEANG000101,Region1,rainfedLowland,1.967698598,0.200175593,0.399182959,224,125,87,267,88.86,77.4,19.557558,T3,2.586247967
SGHHNG000399,SGEANG000101,Region1,rainfedLowland,2.102174543,2.35106321,2.578920308,224,125,87,267,88.86,77.4,-6.718341482,T3,30.37549367
SGHHNG000403,SGEANG000101,Region1,rainfedLowland,1.853496503,0.194816292,1.528272701,224,125,87,267,88.86,77.4,18.34160836,T3,2.517006352
SGHHNG000404,SGEANG000101,Region1,rainfedLowland,NA,0.198837209,0.4,224,125,87,267,88.86,77.4,NA,T3,2.568956193
SGHHNG000406,SGEANG000101,Region1,rainfedLowland,1.685160923,2.847286474,1.539925905,224,125,87,267,88.86,77.4,-17.8224232,T3,36.78664696
SGHHNG000407,SGEANG000101,Region1,rainfedLowland,NA,2.26685879,0.398833819,224,125,87,267,88.86,77.4,NA,T3,29.28758126
SGHHNG000408,SGEANG000101,Region1,rainfedLowland,1.90651801,2.283887468,1.501559792,224,125,87,267,88.86,77.4,-8.052289438,T3,29.50759003
SGHHNG000409,SGEANG000101,Region1,rainfedLowland,2.040340909,2.273410405,4.139481268,224,125,87,267,88.86,77.4,-6.410929801,T3,29.37222745
SGHHNG000410,SGEANG000101,Region1,rainfedLowland,0.194318182,0.248288136,0.393103448,224,125,87,267,88.86,77.4,-1.021066797,T3,3.207857049
SGHHNG000411,SGEANG000104,Region1,rainfedLowland,2.918737285,3.753508926,1.875965409,183,92,87,267,67.94,77.4,-5.534433909,T3,48.49494737
SGHHNG000412,SGEANG000104,Region1,rainfedLowland,2.803808033,3.867218823,2.264335977,183,92,87,267,67.94,77.4,-8.695182684,T3,49.96406748
SGHHNG000414,SGEANG000104,Region1,rainfedLowland,4.013310979,3.578506463,2.634455873,183,92,87,267,67.94,77.4,12.83746729,T3,46.23393363
SGHHNG000415,SGEANG000104,Region1,rainfedLowland,3.27137851,3.199690528,1.995696383,183,92,87,267,67.94,77.4,6.811322765,T3,41.3396709
SGHHNG000419,SGEANG000104,Region1,rainfedLowland,2.901842044,3.356246439,2.256465554,183,92,87,267,67.94,77.4,-0.650522484,T3,43.3623571
SGHHNG000420,SGEANG000104,Region1,rainfedLowland,3.737854327,3.410555129,2.234700063,183,92,87,267,67.94,77.4,10.95297063,T3,44.06401975
SGHHNG000421,SGEANG000104,Region1,rainfedLowland,3.962952003,3.80655876,1.801507878,183,92,87,267,67.94,77.4,9.149827995,T3,49.18034574
