household,enumerator,event,region,plot_yield_T1,plot_yield_T3,plot_yield_T2,plot_length_T2,plotL2_T2,plot_width_T2,plotW2_T2,plot_length_T1,plotL2_T1,plot_width_T1,plotW2_T1,plotL1_T3,plotL2_T3,plotW1_T3,plotW2_T3,riceSystem,plotSizeT2,plotSizeT1,plotSizeT3,T2_Yha,X,moistT3,moisture_T2,moisture_T1,moistureT2,moistureT1,moistureT3,T1_BRR,T1_ZCC,T3_ZCC,eSSR,plot,incrT2,incrT1,T2_yieldha,T1_yieldha,T3_yieldha,incr_Y
SGHHNG000415,SGEANG000104,event6R,Region1,30.41,29.98,9.076,9.4,9.4,9.6,9.6,9.4,9.4,9.6,9.6,9.4,9.4,4.6,4.6,rainfedLowland,90.24,90.24,43.24,1.995696383,31,19.8,19.4,17.8,18.36666667,17.43333333,19.9,-0.933333333,-2.466666667,-1.533333333,0.071687982,T1,1.203994145,1.275682127,3.27137851,3.27137851,3.199690528,1.275682127
SGHHNG000419,SGEANG000104,event6R,Region1,28.921,33.736,11.201,9.8,9.8,9.6,9.6,9.8,9.8,9.6,9.6,9.8,9.8,4.8,4.8,rainfedLowland,94.08,94.08,47.04,2.256465554,32,19.4,22.1,20.4,21.8,20.76666667,20.3,-1.033333333,0.466666667,1.5,-0.454404396,T3,1.099780886,0.64537649,3.356246439,2.901842044,3.356246439,1.099780886
SGHHNG000419,SGEANG000104,event6R,Region1,28.921,33.736,11.201,9.8,9.8,9.6,9.6,9.8,9.8,9.6,9.6,9.8,9.8,4.8,4.8,rainfedLowland,94.08,94.08,47.04,2.256465554,32,19.4,22.1,20.4,21.8,20.76666667,20.3,-1.033333333,0.466666667,1.5,-0.454404396,T1,1.099780886,0.64537649,2.901842044,2.901842044,3.356246439,0.64537649
SGHHNG000420,SGEANG000104,event6R,Region1,35.845,32.632,10.71,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,4.8,4.8,rainfedLowland,93.12,93.12,46.08,2.234700063,33,18.4,16.6,17.2,17.13333333,17.4,18.56666667,0.266666667,-1.166666667,-1.433333333,0.327299198,T3,1.175855065,1.503154263,3.410555129,3.737854327,3.410555129,1.175855065
SGHHNG000420,SGEANG000104,event6R,Region1,35.845,32.632,10.71,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,4.8,4.8,rainfedLowland,93.12,93.12,46.08,2.234700063,33,18.4,16.6,17.2,17.13333333,17.4,18.56666667,0.266666667,-1.166666667,-1.433333333,0.327299198,T1,1.175855065,1.503154263,3.737854327,3.737854327,3.410555129,1.503154263
SGHHNG000421,SGEANG000104,event6R,Region1,39.66,36.765,8.675,9.8,9.8,9.6,9.6,9.8,9.8,9.6,9.6,9.8,9.8,4.8,4.8,rainfedLowland,94.08,94.08,47.04,1.801507878,34,16.5,16.8,18.7,17.03333333,21.26666667,16.7,4.233333333,4.566666667,0.333333333,0.156393243,T3,2.005050882,2.161444125,3.80655876,3.962952003,3.80655876,2.005050882
SGHHNG000421,SGEANG000104,event6R,Region1,39.66,36.765,8.675,9.8,9.8,9.6,9.6,9.8,9.8,9.6,9.6,9.8,9.8,4.8,4.8,rainfedLowland,94.08,94.08,47.04,1.801507878,34,16.5,16.8,18.7,17.03333333,21.26666667,16.7,4.233333333,4.566666667,0.333333333,0.156393243,T1,2.005050882,2.161444125,3.962952003,3.962952003,3.80655876,2.161444125
SGHHNG000422,SGEANG000104,event6R,Region1,27.34,29.76,9.611,9.6,9.6,9.5,9.5,9.6,9.6,9.5,9.5,9.6,9.6,4.8,4.8,rainfedLowland,91.2,91.2,46.08,2.079639668,35,14.8,16.9,16.9,17.23333333,17.13333333,14.33333333,-0.1,2.8,2.9,-0.255543689,T3,1.093519274,0.837975585,3.173158942,2.917615253,3.173158942,1.093519274
SGHHNG000422,SGEANG000104,event6R,Region1,27.34,29.76,9.611,9.6,9.6,9.5,9.5,9.6,9.6,9.5,9.5,9.6,9.6,4.8,4.8,rainfedLowland,91.2,91.2,46.08,2.079639668,35,14.8,16.9,16.9,17.23333333,17.13333333,14.33333333,-0.1,2.8,2.9,-0.255543689,T1,1.093519274,0.837975585,2.917615253,2.917615253,3.173158942,0.837975585
SGHHNG000425,SGEANG000104,event6R,Region1,31.643,34.735,10.101,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,4.8,4.8,rainfedLowland,93.12,93.12,46.56,2.125336284,36,16.2,16.4,17.6,16.96666667,17.76666667,16.36666667,0.8,1.4,0.6,-0.346120965,T3,1.510188199,1.164067233,3.635524483,3.289403518,3.635524483,1.510188199
SGHHNG000425,SGEANG000104,event6R,Region1,31.643,34.735,10.101,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,4.8,4.8,rainfedLowland,93.12,93.12,46.56,2.125336284,36,16.2,16.4,17.6,16.96666667,17.76666667,16.36666667,0.8,1.4,0.6,-0.346120965,T1,1.510188199,1.164067233,3.289403518,3.289403518,3.635524483,1.164067233
SGHHNG000431,SGEANG000105,event6R,Region2,40.9,45.6,21.2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,4.27626069,37,12.8,12.6,12.9,13.03333333,13.16666667,13.03333333,0.133333333,0.133333333,0,-0.478879526,T3,0.322736656,-0.15614287,4.598997346,4.12011782,4.598997346,0.322736656
