,household,enumerator,event,region,SSR_Yplot,BRR_Yplot,ZCC_Yplot,plotL1_BRR,plotL2_BRR,plotW1_BRR,plotW2_BRR,plotL1_SSR,plotL2_SSR,plotW1_SSR,plotW2_SSR,plotL1_ZCC,plotL2_ZCC,plotW1_ZCC,plotW2_ZCC,riceSystem,plotSizeBRR,plotSizeSSR,plotSizeZCC,T1_Yha,T2_Yha,T3_Yha,X,moistZCC,moistBRR,moistSSR,moistureBRR,moistureSSR,moistureZCC,SSR_BRR,SSR_ZCC,BRR_ZCC,incrBRR,incrSSR,eSSR,ecdf,lower,upper
34,SGHHNG000431,SGEANG000105,event6R,Region2,40.9,45.6,21.2,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,4.12011782,4.598997346,4.27626069,37,12.8,12.6,12.9,13.03333333,13.16666667,13.03333333,0.133333333,0.133333333,0,0.322736656,-0.15614287,-0.478879526,0.166666667,0,0.541891653
35,SGHHNG000432,SGEANG000105,event6R,Region2,61.11,52.47,19.4,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,6.116365233,5.299686946,3.899382897,38,12.9,12.11,12.9,12.86666667,13.9,13.43333333,1.033333333,0.466666667,-0.566666667,1.400304049,2.216982335,0.816678286,0.916666667,0.54144168,1
36,SGHHNG000434,SGEANG000105,event6R,Region2,49.8,51.2,18.1,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,5.015194346,5.153148911,3.644509862,39,12.9,12.1,12.9,13.26666667,13.2,13.23333333,-0.066666667,-0.033333333,0.033333333,1.508639049,1.370684485,-0.137954565,0.25,0,0.625224987
37,SGHHNG000436,SGEANG000105,event6R,Region2,51.2,45.9,18.5,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,5.154665882,4.623799705,3.72614841,40,12.8,13.3,13.1,13.16666667,13.23333333,13.2,0.066666667,0.033333333,-0.033333333,0.897651296,1.428517472,0.530866176,0.5,0.124775013,0.875224987
38,SGHHNG000449,SGEANG000105,event6R,Region2,58.9,53.5,16.6,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,5.963232682,5.427766241,3.368258677,41,12.1,12.2,12.4,12.36666667,12.6,12.36666667,0.233333333,0.233333333,0,2.059507565,2.594974005,0.535466441,0.583333333,0.208108347,0.95855832
39,SGHHNG000453,SGEANG000106,event6R,Region2,59.57,51.145,17.02,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,5.756693981,4.948115983,3.332860006,42,16.7,17.2,17.9,17.83333333,17.96666667,16.43333333,0.133333333,1.533333333,1.4,1.615255977,2.423833976,0.808577998,0.833333333,0.458108347,1
40,SGHHNG000455,SGEANG000106,event6R,Region2,33.46,26.47,14.52,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,3.329450102,2.601362069,2.90825183,43,14,16.1,15.7,16,14.56666667,13.83333333,-1.433333333,0.733333333,2.166666667,-0.306889761,0.421198272,0.728088033,0.75,0.374775013,1
41,SGHHNG000456,SGEANG000106,event6R,Region2,47.38,35.36,12.14,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,4.589056924,3.471044776,2.377938144,44,16.2,16,18.9,16.13333333,17.7,16.4,1.566666667,1.3,-0.266666667,1.093106632,2.21111878,1.118012148,1,0.624775013,1
42,SGHHNG000457,SGEANG000106,event6R,Region2,37.06,30.06,10.86,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,3.544328859,2.859671766,2.111495168,45,18.4,19.8,19.5,19.83333333,19.2,17.26666667,-0.633333333,1.933333333,2.566666667,0.748176599,1.432833691,0.684657093,0.666666667,0.29144168,1
43,SGHHNG000460,SGEANG000106,event6R,Region2,30.01,46.55,20.71,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.955202995,4.526613591,4.049639794,46,16.6,17.2,15.9,17.23333333,15.76666667,16.6,-1.466666667,-0.833333333,0.633333333,0.476973797,-1.0944368,-1.571410597,0.083333333,0,0.45855832
